;Ap;Høyre;Frp;SV;Sp;KrF;Venstre;MDG;Rødt;Andre
Desember '16;36,1 (68);23,1 (40);14,0 (25);4,3 (8);7,1 (12);4,8 (8);4,0 (7);2,8 (1);1,9 (0);1,7 (0)
November '16;36,3 (70);23,8 (41);12,5 (21);4,3 (7);7,0 (12);5,1 (9);4,6 (8);2,9 (1);2,0 (0);1,6 (0)
Oktober '16;36,6 (69);24,5 (45);13,5 (24);3,8 (2);6,7 (12);4,5 (8);4,3 (8);2,6 (1);1,8 (0);1,5 (0)
September '16;34,6 (64);24,8 (44);14,5 (25);4,1 (7);7,1 (12);4,8 (8);4,3 (8);2,7 (1);1,7 (0);1,4 (0)
August '16;35,4 (65);24,8 (46);14,4 (26);3,8 (2);6,5 (12);4,7 (9);4,1 (8);3,1 (1);1,5 (0);1,6 (0)
Juli '16;31,3 (57);25,4 (46);15,0 (27);4,2 (7);7,4 (13);5,1 (9);4,6 (8);2,8 (1);2,4 (1);0,6 (0)
Juni '16;34,1 (64);23,3 (40);15,9 (28);4,4 (8);6,2 (11);5,0 (9);4,3 (7);3,5 (2);1,7 (0);1,4 (0)
Mai '16;33,6 (63);23,9 (41);15,5 (28);4,0 (7);6,6 (11);5,3 (9);4,4 (8);3,1 (1);2,1 (1);1,2 (0)
April '16;33,8 (64);23,7 (41);16,4 (29);4,2 (7);6,1 (10);5,3 (9);4,5 (8);3,2 (1);1,5 (0);1,3 (0)
Mars '16;32,5 (60);25,2 (47);16,7 (31);3,9 (2);6,2 (11);4,8 (9);4,5 (8);3,2 (1);1,9 (0);1,1 (0)
Februar '16;33,0 (63);24,1 (41);16,7 (29);4,2 (7);5,7 (10);5,2 (9);4,2 (7);3,8 (3);2,0 (0);1,2 (0)
Januar '16;32,7 (62);24,2 (42);16,4 (29);4,0 (7);5,9 (10);4,8 (8);4,5 (8);4,0 (3);2,0 (0);1,3 (0)
Desember '15;34,0 (64);22,0 (38);17,5 (31);3,7 (2);6,0 (10);5,0 (9);4,1 (7);4,3 (8);1,9 (0);1,3 (0)
November '15;35,1 (65);22,0 (39);16,3 (29);3,9 (2);6,1 (11);4,9 (9);4,3 (7);4,1 (7);2,0 (0);1,4 (0)
Oktober '15;36,4 (71);22,9 (37);12,0 (19);4,2 (7);6,6 (11);5,5 (9);5,2 (8);4,2 (7);1,8 (0);1,1 (0)
September '15;35,6 (69);23,3 (38);12,2 (20);4,1 (7);6,3 (10);5,7 (9);5,2 (8);4,8 (8);1,4 (0);1,1 (0)
August '15;36,3 (70);23,8 (42);12,7 (21);4,0 (2);5,8 (10);4,9 (8);4,5 (8);4,7 (8);1,7 (0);1,7 (0)
Juli '15;37,6 (73);22,7 (39);12,8 (20);4,3 (7);5,1 (8);5,1 (8);4,6 (7);4,3 (7);1,7 (0);1,8 (0)
Juni '15;39,0 (75);22,5 (38);12,3 (21);3,5 (1);5,7 (10);5,4 (9);4,5 (8);4,4 (7);1,5 (0);1,2 (0)
Mai '15;38,0 (73);24,0 (41);12,0 (20);3,6 (1);5,8 (10);5,2 (9);4,6 (8);4,1 (7);1,5 (0);1,4 (0)
April '15;39,5 (75);23,0 (41);11,0 (20);3,6 (1);5,6 (10);5,7 (10);4,9 (9);4,0 (3);1,4 (0);1,0 (0)
Mars '15;41,4 (78);22,7 (41);10,4 (19);3,6 (1);5,8 (11);5,5 (10);4,5 (8);3,2 (1);1,5 (0);1,0 (0)
Februar '15;41,9 (76);21,3 (39);11,2 (20);3,9 (2);5,7 (10);5,3 (10);4,7 (9);3,6 (3);1,4 (0);1,1 (0)
Januar '15;41,5 (77);22,6 (41);11,3 (20);3,7 (2);5,4 (10);5,3 (9);4,6 (8);3,4 (2);1,2 (0);1,1 (0)
Desember '14;41,4 (77);22,5 (40);11,3 (20);3,8 (2);5,2 (9);5,4 (10);4,7 (8);3,5 (3);1,3 (0);0,9 (0)
November '14;40,2 (75);22,6 (40);11,5 (21);3,9 (2);5,3 (9);5,9 (11);4,7 (8);3,5 (3);1,4 (0);1,0 (0)
Oktober '14;37,3 (70);25,2 (45);13,5 (24);3,6 (2);5,2 (9);4,7 (8);4,6 (8);3,6 (3);1,3 (0);1,1 (0)
September '14;35,0 (66);26,6 (47);14,1 (25);3,6 (1);5,0 (9);5,1 (9);4,8 (9);3,5 (3);1,2 (0);1,0 (0)
August '14;34,5 (66);26,9 (47);13,9 (25);3,9 (2);5,2 (9);5,1 (9);4,7 (8);3,7 (3);1,2 (0);1,2 (0)
Juli '14;36,3 (70);26,8 (47);12,3 (22);3,0 (1);5,3 (9);4,6 (8);5,3 (9);3,6 (3);1,5 (0);1,2 (0)
Juni '14;35,0 (67);26,3 (46);13,8 (25);3,5 (1);5,3 (9);5,2 (9);4,8 (9);3,6 (3);1,3 (0);1,3 (0)
Mai '14;33,9 (66);26,9 (44);13,7 (23);4,0 (7);5,1 (8);5,3 (9);5,2 (9);3,4 (3);1,3 (0);1,2 (0)
April '14;34,2 (66);27,5 (49);14,0 (25);3,7 (2);4,5 (8);5,4 (9);5,3 (9);3,0 (1);1,3 (0);1,3 (0)
Mars '14;34,6 (66);26,9 (48);14,3 (25);3,8 (2);4,9 (9);5,0 (9);5,1 (9);3,1 (1);1,4 (0);1,1 (0)
Februar '14;33,8 (65);28,7 (51);13,3 (24);3,9 (2);4,9 (9);5,3 (9);4,8 (8);3,0 (1);1,2 (0);1,1 (0)
